id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
213,Tubercle on supramastoid crest,Temporal,CR,D,UM,PHY,,UBERON:0001678,The presence of a tubercle on the posterior portion of the supramastoid crest.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a tubercle on the posterior portion of the supramastoid crest. (Unordered). States: Absent (0); Present (1),,
214,Mastoid crest projection,Temporal,CR,D,UM,PHY,,UBERON:0001678,The projection of mastoid crest.,2,Weak (0); Strong (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The projection of mastoid crest. (Unordered). States: Weak (0); Strong (1),,
215,Mastoid crest and upper temporal line contact,Temporal,CR,D,UM,PHY,,UBERON:0001678,The continuity of mastoid crest with upper temporal line.,2,Not continuous (0); Continuous (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The continuity of mastoid crest with upper temporal line. (Unordered). States: Not continuous (0); Continuous (1),,
216,Mastoid crest and supramastoid crest orientation,Temporal,CR,D,UM,PHY,,UBERON:0001678,The orientation of the anterior portion of the mastoid and supramastoid crests.,2,Divergent anteriorly (0); Parallel (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the anterior portion of the mastoid and supramastoid crests. (Unordered). States: Divergent anteriorly (0); Parallel (1),,
217,Juxtamastoid eminence,Temporal,CR,D,UM,PHY,,UBERON:0001678,The presence of a juxtamastoid crest.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a juxtamastoid crest. (Unordered). States: Absent (0); Present (1),,
218,Digastric fossa depth,Temporal,CR,D,UM,PHY,,UBERON:0001678,The depth of digastric fossa.,2,Shallow (0); Deep (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The depth of digastric fossa. (Unordered). States: Shallow (0); Deep (1),,
219,Digastric fossa length,Temporal,CR,D,UM,PHY,,UBERON:0001678,The length of digastric fossa.,2,Short (0); Long (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The length of digastric fossa. (Unordered). States: Short (0); Long (1),,
220,Digastric fossa width,Temporal,CR,D,UM,PHY,,UBERON:0001678,The width of digastric fossa.,2,Narrow (0); Wide (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The width of digastric fossa. (Unordered). States: Narrow (0); Wide (1),,
221,Digastric fossa cross-section shape,Temporal,CR,D,UM,PHY,,UBERON:0001678,The transverse cross-sectional shape of digastric fossa.,2,Round (0); U-shaped (1); V-shaped (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The transverse cross-sectional shape of digastric fossa. (Unordered). States: Round (0); U-shaped (1); V-shaped (2),,
222,Digastric groove morphology,Temporal,CR,D,UM,PHY,,UBERON:0001678,The morphology of digastric groove located medially and posterior to the mastoid process.,3,Bridged (0); Not bridged (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The morphology of digastric groove located medially and posterior to the mastoid process. (Unordered). States: Bridged (0); Not bridged (1),,
223,Angular torus,Temporal,CR,D,UM,PHY,,UBERON:0001678,The presence of an angular torus.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of an angular torus. (Unordered). States: Absent (0); Present (1),,
224,Temporal squama height,Temporal,CR,D,UM,PHY,,UBERON:0001678,The height of the temporal squama on the vault.,2,High (0); Low (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The height of the temporal squama on the vault. (Unordered). States: High (0); Low (1),,
225,Temporal squama shape,Temporal,CR,D,UM,PHY,,UBERON:0001678,The shape of the temporal squama on the vault.,2,Polygonal (0); Triangular (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of the temporal squama on the vault. (Unordered). States: Polygonal (0); Triangular (1),,
226,Anterior contour of temporal squama,Temporal,CR,D,UM,PHY,,UBERON:0001678,The curvature of the anterior edge of the temporal squama.,2,Rounded (0); Rectilinear (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The curvature of the anterior edge of the temporal squama. (Unordered). States: Rounded (0); Rectilinear (1),,
227,Superior contour of temporal squama,Temporal,CR,D,UM,PHY,,UBERON:0001678,The curvature of the superior edge of the temporal squama.,2,Rounded (0); Rectilinear (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The curvature of the superior edge of the temporal squama. (Unordered). States: Rounded (0); Rectilinear (1),,
228,Posterior contour of temporal squama,Temporal,CR,D,UM,PHY,,UBERON:0001678,The contour of the posterior temporal squama of the facies temporalis in the asterionic region.,2,Flattened (0); Vertical (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The contour of the posterior temporal squama of the facies temporalis in the asterionic region. (Unordered). States: Flattened (0); Vertical (1),,
229,Squamosal suture overlap extensive,Temporal,CR,D,UM,PHY,,UBERON:0001678,The superior and posterosuperior aspects of the squamosal suture.,2,Not extensive (0); Extensive (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The superior and posterosuperior aspects of the squamosal suture. (Unordered). States: Not extensive (0); Extensive (1),"This character refers in particular to the superior and posterosuperior aspects of the squamosal suture. Rak (1978; see also 1983; Kimbel & Rak, 1985) noted that the squamosal suture of A. boisei is extensive, tapered with a bevel (sutura limbosa), and possesses numerous inter-digitations. L.338y-6 also has an extensive squamosal suture (Rak & Howell, 1978). KNM-WT17000 has an extensive suture, though there is disagreement concerning its morphology. Rak & Kimbel (1991, 1993) consider the specimen to have a unique posterolateral extension of the suture, which is disputed by Walker et al. (1993). We follow the latter in the interpretation of KNM-WT 17000. Squamosal suture morphology is poorly preserved in adult A. robustus, so that species cannot be characterized. All other species lack an extensive suture. Pg. 69-70",
230,Position of temporal emphasis,Temporal,CR,D,OM,PHY,,UBERON:0001678,The location of the most strongly expressed part of the temporal lines.,2,Posterior (0); Intermediate 1 (1); Intermediate 2 (2); Anterior (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The location of the most strongly expressed part of the temporal lines. (Ordered). States: Posterior (0); Intermediate 1 (1); Intermediate 2 (2); Anterior (3),,
231,Temporal line projection,Temporal,CR,D,UM,PHY,,UBERON:0001678,The development of the temporal band.,3,Slight (0); Marked projection (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the temporal band. (Unordered). States: Slight (0); Marked projection (1).,,
232,Depression beneath the upper temporal line,Parietal,CR,D,UM,PHY,,UBERON:0000210,The presence of a depression on the superior temporal line in the posterior half of the parietal.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a depression on the superior temporal line in the posterior half of the parietal. (Unordered). States: Absent (0); Present (1),,
233,Position of temporal lines on parietal bones,Vault,CR,D,UM,PHY,,UBERON:0004339,The width between the temporal lines in superior view.,2,Crest (0); Wide (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The width between the temporal lines in superior view. (Unordered). States: Crest (0); Wide (1),,
234,Depression between temporal lines,Parietal,CR,D,UM,PHY,,UBERON:0000210,The presence of a depression between the temporal lines in the posterior half of the parietal.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a depression between the temporal lines in the posterior half of the parietal. (Unordered). States: Absent (0); Present (1),,
235,Temporal band width in lateral view,Vault,CR,D,UM,PHY,,UBERON:0004339,The width between the temporal lines on in lateral view.,2,Narrow (0); Wide (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The width between the temporal lines on in lateral view. (Unordered). States: Narrow (0); Wide (1),,
236,Temporal band projection,Parietal,CR,D,OM,PHY,,UBERON:0000210,"The width of the temporal band on the parietal bone. The position, relief and the existence of a stephanion disconection of the space between temporal lines.",2,Lines absent or weak (0); Lines visible but not protruding (1); Lines protruding (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The width of the temporal band on the parietal bone. The position, relief and the existence of a stephanion disconnection of the space between temporal lines. (Ordered). States: Lines absent or weak (0); Lines visable but not protruding (1); Lines protruding (2)",,
237,Temporal line position,Parietal,CR,D,UM,BOTH,,UBERON:0000210,The position of temporal lines on the parietal.,3,High (0); Low (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Berger et al. 2010 *has different states; crest, variable, wide*",,The position of temporal lines on the parietal. (Unordered). States: High (0); Low (1),,
238,Parietomastoid angle development,Parietal,CR,D,UM,PHY,,UBERON:0000210,The angle at parietomastoid.,2,Strong (0); Weak (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The angle at parietomastoid. (Unordered). States: Strong (0); Weak (1),,
239,Prelambdoidal depression,Parietal,CR,D,UM,PHY,,UBERON:0000210,The presence of a prelambdoidal depression.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a prelambdoidal depression. (Unordered). States: Absent (0); Present (1),,
240,Projection on lambdoid suture (processus asteriacus),Parietal,CR,D,UM,PHY,,UBERON:0000210,"The presence of an asteriacus process, which is an elevation limited to the inferior segment of the upper temporal line of the parietal.",2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The presence of an asteriacus process, which is an elevation limited to the inferior segment of the upper temporal line of the parietal. (Unordered). States: Absent (0); Present (1)",,
241,Upper occipital squama curvature,Occipital,CR,D,UM,PHY,,UBERON:0001676,The curvature of the upper occipital squama above the inion where superior nuchal lines merge in the medial sagittal plane.,2,Flat or slightly concave (0); Convex (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The curvature of the upper occipital squama above the inion where superior nuchal lines merge in the medial sagittal plane. (Unordered). States: Flat or slight concave (0); Convex (1),,
242,Occipital squama shape,Occipital,CR,D,UM,PHY,,UBERON:0001676,The shape of the upper part of the occipital squama in norma occipitalis.,2,Pentagonal (0); Triangular (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of the upper part of the occipital squama in norma occipitalis. (Unordered). States: Pentagonal (0); Triangular (1),,
243,Nuchal plane inclination,Occipital,CR,D,OM,PHY,,UBERON:0001676,The angle between the inion-opisthion chord and Frankfurt Horizontal.,2,Steep (0); Intermediate (1); Weak (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The angle between the inion-opisthion chord and Frankfurt Horizontal. (Ordered). States: Steep (0); Intermediate (1); Weak (2),"Kimbel et al. (1984) measured this character as an angle between the inion-opisthion chord and Frankfurt Horizontal. Their measurements were supplemented with our own. Three states are recognized, namely steeply inclined (angle >60°), intermediate (60-45°), and weakly inclined (angle <45°). The state assignment of A. robustus (weakly inclined) is based on an estimated value for SK 47. This character was also estimated in KNM-ER 1470, since the orientation of Frankfurt Horizontal depends on how the neurocranium joins the face. The preserved portion of the nuchal plane indicates weak inclination. Finally, although S&M 64 characterize KNM-ER 1805 as having a steep plane, our measurement indicates that the plane is weakly inclined. This specimen exhibits a sharp angulation in the nuchal plane such that its superior portion is steep and inferior portion is weakly inclined. In this regard, it is similar to KNM-ER 406. With respect to these two specimens, the measurement employed here represents an average of these two inclinations. Pg. 73","Brunet et al. (2002:150) described the nuchal plane of TM 266-01-060-1 as being ‘‘horizontally oriented.’’ Recently, Wolpo et al. (2002) suggested that the nuchal plane of this specimen is angled at 55 (relative to the Frankfurt Horizontal (FH). Brunet (2002) noted that the nuchal plane is distorted on the specimen, but when corrected, the value for the specimen (which they do not report) is outside the range of living apes and within the range of early hominids. We were unable to independently assess this feature on either the original or a cast of TM 266-01-060-1. However, we note that our intermediate state (inion-opisthion chord inclined at 60(-45( relative to FH) accommodates both of these statements. Thus, we code this species as being like Pr. afarensis in having an intermediate inclination (state 2). Pg. 442-443"
244,Relative height of nuchal area,Occipital,CR,D,UM,PHY,,UBERON:0001676,The anteroposterior height of the nuchal area of the cranial base relative to the bisupramastoid width.,3,High (0); Low (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The anteroposterior height of the nuchal area of the cranial base relative to the bisupramastoid width. (Unordered). States: High (0); Low (1),,
245,Compound temporal nuchal crest in males,Occipital,CR,D,OM,BOTH,D,UBERON:0001676,The presence of compound temporal nuchal crest in males.,2,Extensive (0); Partial (1); Absent (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of compound temporal nuchal crest in males. (Ordered). States: Extensive (0); Partial (1); Absent (2),"Following Kimbel (1988), three states are recognized: (0) an extensive crest extending almost the entire distance between inion and the lateral margin of the supramastoid crest, (1) a partial crest confined to the lateral third of the bi-asterioric breadth, and (2) a crest is absent. A. robustus is coded as missing data for this character. Although Robinson (1958) reported that crests were absent in SK 48, SK 49 and SK 83, the nuchal region is missing in SK 48 and SK83, and SK 49 is not a definitive male. Even though crests are absent in SK 47, this specimen is a juvenile, and may not be ontogenetically old enough to exhibit a crest. The H. habilis state assignment is based on KNM-ER 1805. S&M 72 (‘‘size of posterior relative to anterior part of temporalis muscle’’) is rejected because it represents an interpretation of morphology rather than an observation, and because that interpretation is based on patterns of cranial cresting, which have already been accepted as characters in this analysis. Thus, S&M 72 is redundant with this character and character 20 (presence of sagittal crest). For instance, a sagittal crest combined with a partial temporal nuchal crest would indicate a large anterior temporalis. Pg. 69",
246,Nuchal crest emphasis,Occipital,CR,D,OM,PHY,,UBERON:0001676,The location of the most projecting part of the nuchal crest.,3,Lateral (0); Medial (1); Absent (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The location of the most projecting part of the nuchal crest. (Ordered). States: Lateral (0); Medial (1); Absent (2),,
247,Occipital angulation,Occipital,CR,D,OM,PHY,,UBERON:0001676,The angle formed between the lambda-inion chord and the inion-opisthion chord.,3,<100 (0); 100 to 110 (1); >110 (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The angle formed between the lambda-inion chord and the inion-opisthion chord. (Ordered). States: <100 (0); 100 to 110 (1); >100 (2),,
248,Lower occipital squama shape,Occipital,CR,D,UM,PHY,,UBERON:0001676,The curvature of the lower occipital squama.,3,Convex (0); Flat or slightly concave (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The curvature of the lower occipital squama. (Unordered). States: Convex (0); Flat or slight concave (1),,
249,Longus capitis insertion size,Occipital,CR,D,UM,PHY,,UBERON:0001676,The sizeand orientation of the depression of longus capitis where visible and the degree of development of muscle markings.,2,Large (0); Small (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The size and orientation of the depression of longus capitis where visible and the degree of development of muscle markings. (Unordered). States: Large (0); Small (1),,
250,Occipital torus development,Occipital,CR,D,OM,PHY,,UBERON:0001676,The development of the occipital torus.,2,Absent (0); Weak (1); Strong (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the occipital torus. (Ordered). States: Absent (0); Weak (1); Strong (2),,
